角色理論,報表,0.4581772784,0.4580868648,0.4581168297,0.3775351014,0.3494539782,0.2730109204,0.7269890796,0.3746097815,0.3465140479,0.2788761707,0.6253902185,0.7151898734,0.725,0.7329192547,0.7345679012,0.2839506173,0.275,0.2785602504,0.0986267166,0.09987515605,0.1004993758,0.1011235955,0.1011235955,0.09987515605,0.3988764045,0.4001248439,0.5998751561,0.406175772,0.3781902552,0.4408866995,0.4497607656,0.466992665,0.3831325301,0.4,0.4250614251,0.4296296296,0.3924349882,0.4290865385,0.4278177458,0.4057692308,0.6891891892,0.7068965517,0.7432432432,0.7538461538,0.7903225806,0.6964285714,0.7096774194,0.7313432836,0.7272727273,0.7192982456,0.2527472527,0.2571428571,0.2674418605,0.3125,0.3263157895,0.2673267327,0.2745098039,0.2747252747,0.2857142857,0.2718446602,0.1154446178,0.09048361934,0.1154446178,0.1014040562,0.09672386895,0.08736349454,0.09672386895,0.104524181,0.1029641186,0.08892355694,0.0946930281,0.1092611863,0.08949011446,0.09989594173,0.098855359,0.1050988554,0.1061394381,0.0946930281,0.0946930281,0.1071800208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
player,總場次,勝率,角色理論,位置理論,紅方三紅,紅方梅死,紅方梅活,紅勝,藍方三紅,藍方梅死,藍方梅活,三藍,刺,娜,德,奧,派,梅,忠,刺,娜,德,奧,派,梅,忠,紅角率,藍角率,1勝,2勝,3勝,4勝,5勝,6勝,7勝,8勝,9勝,0勝,雙尾派,1-5勝,6-0勝,1紅勝,2紅勝,3紅勝,4紅勝,5紅勝,6紅勝,7紅勝,8紅勝,9紅勝,0紅勝,1藍勝,2藍勝,3藍勝,4藍勝,5藍勝,6藍勝,7藍勝,8藍勝,9藍勝,0藍勝,1紅,2紅,3紅,4紅,5紅,6紅,7紅,8紅,9紅,0紅,1藍,2藍,3藍,4藍,5藍,6藍,7藍,8藍,9藍,0藍,三紅,三藍死,三藍活,三紅,三藍死,三藍活,刺,娜,德,奧,派,梅,忠,紅勝,藍勝,總勝,刺,娜,德,奧,派,梅,忠,紅場,藍場,1紅勝,2紅勝,3紅勝,4紅勝,5紅勝,6紅勝,7紅勝,8紅勝,9紅勝,0紅勝,1藍勝,2藍勝,3藍勝,4藍勝,5藍勝,6藍勝,7藍勝,8藍勝,9藍勝,0藍勝,1紅,2紅,3紅,4紅,5紅,6紅,7紅,8紅,9紅,0紅,1藍,2藍,3藍,4藍,5藍,6藍,7藍,8藍,9藍,0藍
豬羊,22.0,0.7272727272727273,0.65,0.6285714285714286,0.45454545454545453,0.5454545454545454,0.0,1.0,0.36363636363636365,0.18181818181818182,0.45454545454545453,0.6363636363636364,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.13636363636363635,0.22727272727272727,0.045454545454545456,0.09090909090909091,0.045454545454545456,0.09090909090909091,0.36363636363636365,0.5,0.5,0.6666666666666667,0.7,1.0,1.0,0.0,0.0,1.0,0.625,1.0,0.4,0.25,0.7000000000000001,0.64,,1.0,1.0,1.0,,,1.0,1.0,1.0,1.0,0.6666666666666666,0.5,,,0.0,0.0,1.0,0.5,,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.0,0.0,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,5.0,6.0,0.0,4.0,2.0,5.0,3.0,5.0,1.0,2.0,0.0,1.0,4.0,11.0,5.0,16.0,3.0,5.0,1.0,2.0,1.0,2.0,8.0,11.0,11.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,1.0
ED,22.0,0.6363636363636364,0.65,0.5125,0.6,0.4,0.0,1.0,0.4166666666666667,0.25,0.3333333333333333,0.5833333333333333,1.0,1.0,1.0,1.0,1.0,0.0,0.375,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.36363636363636365,0.45454545454545453,0.5454545454545454,1.0,0.4,0.5714285714285715,1.0,0.4,0.4,0.5,1.0,0.6666666666666666,0.0,0.25,0.64,0.5161290322580645,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0,,,0.0,0.0,1.0,0.0,0.0,0.5,,0.0,0.0,0.1,0.1,0.2,0.0,0.1,0.1,0.0,0.1,0.3,0.0,0.0,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.0,0.08333333333333333,0.08333333333333333,6.0,4.0,0.0,5.0,3.0,4.0,1.0,3.0,4.0,2.0,1.0,0.0,3.0,10.0,4.0,14.0,1.0,3.0,4.0,2.0,1.0,3.0,8.0,10.0,12.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,1.0,4.0,0.0,1.0,1.0
HAO,137.0,0.5766423357664233,0.6165160660935309,0.6084177489177489,0.5918367346938775,0.3469387755102041,0.061224489795918366,0.9387755102040816,0.25,0.375,0.375,0.75,1.0,0.9166666666666666,0.9166666666666666,0.9090909090909091,0.3,0.7142857142857143,0.352112676056338,0.10218978102189781,0.08759124087591241,0.08759124087591241,0.08029197080291971,0.072992700729927,0.051094890510948905,0.5182481751824818,0.35766423357664234,0.6423357664233577,0.5384615384615385,0.3548387096774194,0.7727272727272727,0.48387096774193544,0.6511627906976744,0.3076923076923077,0.3863636363636364,0.6363636363636365,0.6470588235294118,0.5714285714285715,0.619718309859155,0.5431472081218274,0.5090909090909091,1.0,0.8,0.875,0.8571428571428571,1.0,1.0,1.0,1.0,1.0,1.0,0.3333333333333333,0.14285714285714285,0.5,0.375,0.5454545454545454,0.25,0.25,0.5555555555555556,0.5,0.3333333333333333,0.12244897959183673,0.10204081632653061,0.16326530612244897,0.14285714285714285,0.10204081632653061,0.02040816326530612,0.08163265306122448,0.061224489795918366,0.10204081632653061,0.10204081632653061,0.10227272727272728,0.07954545454545454,0.022727272727272728,0.18181818181818182,0.125,0.09090909090909091,0.13636363636363635,0.10227272727272728,0.09090909090909091,0.06818181818181818,29.0,17.0,3.0,22.0,33.0,33.0,14.0,11.0,11.0,10.0,3.0,5.0,25.0,46.0,33.0,79.0,14.0,12.0,12.0,11.0,10.0,7.0,71.0,49.0,88.0,6.0,4.0,7.0,6.0,5.0,1.0,4.0,3.0,5.0,5.0,3.0,1.0,1.0,6.0,6.0,2.0,3.0,5.0,4.0,2.0,6.0,5.0,8.0,7.0,5.0,1.0,4.0,3.0,5.0,5.0,9.0,7.0,2.0,16.0,11.0,8.0,12.0,9.0,8.0,6.0
EMMA,31.0,0.5806451612903226,0.5633333333333334,0.6485714285714287,0.26666666666666666,0.5333333333333333,0.2,0.8,0.3125,0.3125,0.375,0.6875,1.0,0.6666666666666666,0.8,1.0,0.5,0.0,0.4166666666666667,0.03225806451612903,0.1935483870967742,0.16129032258064516,0.0967741935483871,0.06451612903225806,0.06451612903225806,0.3870967741935484,0.4838709677419355,0.5161290322580645,1.0,0.19999999999999998,1.0,0.5,0.625,0.25,0.8181818181818182,0.5789473684210527,0.7142857142857143,,0.625,0.4545454545454546,0.6000000000000001,1.0,,1.0,,1.0,1.0,0.75,0.8,0.5,,,0.2,,0.5,0.5,0.0,1.0,0.3333333333333333,1.0,,0.06666666666666667,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.0,0.3125,0.0,0.125,0.125,0.125,0.0625,0.1875,0.0625,0.0,4.0,8.0,3.0,5.0,5.0,6.0,1.0,4.0,4.0,3.0,1.0,0.0,5.0,12.0,6.0,18.0,1.0,6.0,5.0,3.0,2.0,2.0,12.0,15.0,16.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,4.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,5.0,2.0,0.0,0.0,5.0,0.0,2.0,2.0,2.0,1.0,3.0,1.0,0.0
DEAN,33.0,0.5757575757575758,0.5580952380952382,0.5370370370370371,0.3125,0.5,0.1875,0.8125,0.47058823529411764,0.17647058823529413,0.35294117647058826,0.5294117647058824,0.7142857142857143,1.0,1.0,0.75,0.25,0.6666666666666666,0.3,0.21212121212121213,0.030303030303030304,0.12121212121212122,0.12121212121212122,0.12121212121212122,0.09090909090909091,0.30303030303030304,0.48484848484848486,0.5151515151515151,0.0,0.4545454545454546,0.5555555555555556,0.4,1.0,0.4444444444444444,0.7142857142857143,0.5714285714285715,0.625,0.625,0.75,0.47727272727272724,0.5897435897435896,,1.0,0.6666666666666666,1.0,1.0,0.6666666666666666,0.5,1.0,1.0,1.0,0.0,0.3333333333333333,0.5,0.0,,0.0,1.0,0.0,0.5,0.5,0.0,0.0625,0.1875,0.0625,0.125,0.1875,0.125,0.125,0.0625,0.0625,0.11764705882352941,0.17647058823529413,0.23529411764705882,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.11764705882352941,5.0,8.0,3.0,8.0,3.0,6.0,5.0,1.0,4.0,3.0,1.0,2.0,3.0,13.0,6.0,19.0,7.0,1.0,4.0,4.0,4.0,3.0,10.0,16.0,17.0,0.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,1.0,1.0,2.0,3.0,4.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0
開司,29.0,0.4827586206896552,0.5577777777777779,0.4966666666666667,0.36363636363636365,0.36363636363636365,0.2727272727272727,0.7272727272727273,0.5,0.16666666666666666,0.3333333333333333,0.5,1.0,1.0,1.0,0.4,0.0,0.4,0.4444444444444444,0.06896551724137931,0.10344827586206896,0.034482758620689655,0.1724137931034483,0.13793103448275862,0.1724137931034483,0.3103448275862069,0.3793103448275862,0.6206896551724138,0.0,0.4,1.0,0.28571428571428575,0.5,0.4,0.33333333333333337,0.5294117647058825,0.5,0.33333333333333337,0.39999999999999997,0.4615384615384617,0.44000000000000006,,1.0,1.0,0.5,,1.0,,0.75,0.5,,0.0,0.0,1.0,0.0,0.5,0.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,0.0,0.09090909090909091,0.09090909090909091,0.18181818181818182,0.0,0.09090909090909091,0.0,0.36363636363636365,0.18181818181818182,0.0,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.16666666666666666,0.16666666666666666,0.1111111111111111,0.16666666666666666,4.0,4.0,3.0,9.0,3.0,6.0,2.0,3.0,1.0,2.0,0.0,2.0,4.0,8.0,6.0,14.0,2.0,3.0,1.0,5.0,4.0,5.0,9.0,11.0,18.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,4.0,2.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0
轆,108.0,0.5740740740740741,0.5292783792783793,0.5412857142857144,0.4230769230769231,0.36538461538461536,0.21153846153846154,0.7884615384615384,0.2857142857142857,0.3392857142857143,0.375,0.7142857142857143,0.8571428571428571,0.8571428571428571,0.7692307692307693,0.6363636363636364,0.16666666666666666,0.38461538461538464,0.40540540540540543,0.12962962962962962,0.12962962962962962,0.12037037037037036,0.10185185185185185,0.05555555555555555,0.12037037037037036,0.3425925925925926,0.48148148148148145,0.5185185185185185,0.6774193548387097,0.23809523809523808,0.43749999999999994,0.7027027027027027,0.5416666666666666,0.5714285714285715,0.6666666666666666,0.48387096774193555,0.3793103448275862,0.5517241379310345,0.5471698113207547,0.5448275862068965,0.5196850393700787,0.6,0.3333333333333333,1.0,0.875,0.8333333333333334,1.0,0.8333333333333334,0.75,1.0,0.7142857142857143,0.7142857142857143,0.2,0.25,0.5714285714285714,0.25,0.5,0.5,0.2,0.14285714285714285,0.4,0.09615384615384616,0.057692307692307696,0.07692307692307693,0.15384615384615385,0.11538461538461539,0.019230769230769232,0.11538461538461539,0.15384615384615385,0.07692307692307693,0.1346153846153846,0.125,0.08928571428571429,0.14285714285714285,0.125,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.08928571428571429,0.125,0.08928571428571429,22.0,19.0,11.0,16.0,19.0,21.0,12.0,12.0,10.0,7.0,1.0,5.0,15.0,41.0,21.0,62.0,14.0,14.0,13.0,11.0,6.0,13.0,37.0,52.0,56.0,3.0,1.0,4.0,7.0,5.0,1.0,5.0,6.0,4.0,5.0,5.0,1.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,2.0,5.0,3.0,4.0,8.0,6.0,1.0,6.0,8.0,4.0,7.0,7.0,5.0,8.0,7.0,4.0,4.0,4.0,5.0,7.0,5.0
黃某人,22.0,0.5,0.5194444444444445,0.4839285714285715,0.5,0.4,0.1,0.9,0.5833333333333334,0.25,0.16666666666666666,0.41666666666666663,1.0,1.0,1.0,0.75,1.0,0.0,0.1111111111111111,0.09090909090909091,0.045454545454545456,0.13636363636363635,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.4090909090909091,0.45454545454545453,0.5454545454545454,0.6666666666666666,0.625,1.0,,0.0,0.0,0.4,0.125,0.4,1.0,0.4,0.64,0.25806451612903225,1.0,1.0,1.0,,,,1.0,0.5,1.0,1.0,0.0,0.5,1.0,,0.0,0.0,0.0,0.0,0.0,,0.3,0.1,0.1,0.0,0.0,0.0,0.1,0.2,0.1,0.1,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.0,5.0,4.0,1.0,7.0,3.0,2.0,2.0,1.0,3.0,3.0,1.0,0.0,1.0,9.0,2.0,11.0,2.0,1.0,3.0,4.0,1.0,2.0,9.0,10.0,12.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,0.0,1.0,1.0,1.0,4.0,1.0,0.0
K810,15.0,0.4666666666666667,0.5185185185185186,0.42000000000000004,0.5,0.3333333333333333,0.16666666666666666,0.8333333333333333,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.5555555555555556,,0.6666666666666666,1.0,1.0,0.0,0.0,0.5,0.0,0.2,0.06666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.4,0.6,0.0,1.0,0.0,1.0,0.5,,0.4545454545454546,,1.0,0.0,0.33333333333333337,0.39130434782608703,0.43749999999999994,,1.0,0.0,1.0,,,1.0,,1.0,,0.0,,0.0,,0.5,,0.3333333333333333,,,0.0,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.16666666666666666,0.0,0.1111111111111111,0.0,0.2222222222222222,0.0,0.2222222222222222,0.0,0.3333333333333333,0.0,0.0,0.1111111111111111,3.0,2.0,1.0,4.0,3.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,5.0,2.0,7.0,0.0,3.0,1.0,2.0,2.0,3.0,4.0,6.0,9.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0
池,76.0,0.4868421052631579,0.49491341991341997,0.5061666666666668,0.39285714285714285,0.35714285714285715,0.25,0.75,0.2916666666666667,0.375,0.3333333333333333,0.7083333333333333,0.6666666666666666,0.75,0.7142857142857143,0.8181818181818182,0.3333333333333333,0.4444444444444444,0.3055555555555556,0.07894736842105263,0.05263157894736842,0.09210526315789473,0.14473684210526316,0.039473684210526314,0.11842105263157894,0.47368421052631576,0.3684210526315789,0.631578947368421,0.2,0.47619047619047616,0.5357142857142857,0.46875,0.34615384615384626,0.3181818181818182,0.7,0.3125,0.6666666666666667,0.4705882352941177,0.3953488372093023,0.4358974358974359,0.46987951807228917,0.5,0.6666666666666666,0.6,0.75,0.75,1.0,1.0,0.5,1.0,1.0,0.0,0.4,0.5,0.375,0.16666666666666666,0.16666666666666666,0.5,0.25,0.5,0.4,0.07142857142857142,0.10714285714285714,0.17857142857142858,0.14285714285714285,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.041666666666666664,0.10416666666666667,0.125,0.16666666666666666,0.125,0.125,0.041666666666666664,0.08333333333333333,0.08333333333333333,0.10416666666666667,11.0,10.0,7.0,14.0,18.0,16.0,4.0,3.0,5.0,9.0,1.0,4.0,11.0,21.0,16.0,37.0,6.0,4.0,7.0,11.0,3.0,9.0,36.0,28.0,48.0,1.0,2.0,3.0,3.0,3.0,2.0,2.0,1.0,3.0,1.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,5.0,4.0,4.0,2.0,2.0,2.0,3.0,1.0,2.0,5.0,6.0,8.0,6.0,6.0,2.0,4.0,4.0,5.0
菜,134.0,0.5149253731343284,0.4864047987616099,0.4500685425685427,0.32786885245901637,0.4262295081967213,0.2459016393442623,0.7540983606557377,0.3424657534246575,0.3424657534246575,0.3150684931506849,0.6575342465753424,0.8666666666666667,0.6,0.7647058823529411,0.7368421052631579,0.3125,0.3333333333333333,0.3125,0.11194029850746269,0.07462686567164178,0.12686567164179105,0.1417910447761194,0.11940298507462686,0.06716417910447761,0.3582089552238806,0.4552238805970149,0.5447761194029851,0.5555555555555556,0.6052631578947368,0.4210526315789474,0.6190476190476191,0.5625,0.4680851063829786,0.28124999999999994,0.4615384615384617,0.2916666666666667,0.4210526315789474,0.48571428571428577,0.5459770114942529,0.3952095808383234,0.8888888888888888,1.0,0.8,0.8333333333333334,0.8571428571428571,0.2857142857142857,0.0,0.75,0.6666666666666666,0.7142857142857143,0.3333333333333333,0.375,0.0,0.3333333333333333,0.3333333333333333,0.5454545454545454,0.3,0.3333333333333333,0.16666666666666666,0.25,0.14754098360655737,0.11475409836065574,0.16393442622950818,0.09836065573770492,0.11475409836065574,0.11475409836065574,0.01639344262295082,0.06557377049180328,0.04918032786885246,0.11475409836065574,0.1232876712328767,0.1095890410958904,0.0821917808219178,0.0410958904109589,0.0821917808219178,0.1506849315068493,0.136986301369863,0.0821917808219178,0.0821917808219178,0.1095890410958904,20.0,26.0,15.0,25.0,25.0,23.0,13.0,6.0,13.0,14.0,5.0,3.0,15.0,46.0,23.0,69.0,15.0,10.0,17.0,19.0,16.0,9.0,48.0,61.0,73.0,8.0,7.0,8.0,5.0,6.0,2.0,0.0,3.0,2.0,5.0,3.0,3.0,0.0,1.0,2.0,6.0,3.0,2.0,1.0,2.0,9.0,7.0,10.0,6.0,7.0,7.0,1.0,4.0,3.0,7.0,9.0,8.0,6.0,3.0,6.0,11.0,10.0,6.0,6.0,8.0
30場以下,80.0,0.475,0.46454545454545454,0.41500000000000015,0.34210526315789475,0.3157894736842105,0.34210526315789475,0.6578947368421053,0.35714285714285715,0.3333333333333333,0.30952380952380953,0.6428571428571428,0.6666666666666666,0.6,0.6666666666666666,0.7142857142857143,0.5,0.2857142857142857,0.30303030303030304,0.1125,0.125,0.15,0.0875,0.025,0.0875,0.4125,0.475,0.525,0.47619047619047616,0.19047619047619047,0.5294117647058824,0.5652173913043478,0.5454545454545455,0.642857142857143,0.35,0.22222222222222224,0.33333333333333337,0.5357142857142857,0.54,0.46153846153846156,0.4183673469387754,0.6666666666666666,0.6666666666666666,0.0,0.5,0.75,0.75,0.5,0.6666666666666666,1.0,0.6,0.4,0.0,0.6,0.6,0.0,0.5,0.25,0.0,0.0,0.5,0.07894736842105263,0.07894736842105263,0.02631578947368421,0.10526315789473684,0.21052631578947367,0.10526315789473684,0.10526315789473684,0.07894736842105263,0.07894736842105263,0.13157894736842105,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.11904761904761904,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.14285714285714285,13.0,12.0,13.0,15.0,14.0,13.0,6.0,6.0,8.0,5.0,1.0,2.0,10.0,25.0,13.0,38.0,9.0,10.0,12.0,7.0,2.0,7.0,33.0,38.0,42.0,2.0,2.0,0.0,2.0,6.0,3.0,2.0,2.0,3.0,3.0,2.0,0.0,3.0,3.0,0.0,1.0,1.0,0.0,0.0,3.0,3.0,3.0,1.0,4.0,8.0,4.0,4.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,4.0,4.0,4.0,6.0
軒,47.0,0.46808510638297873,0.4633613445378152,0.4155555555555556,0.42857142857142855,0.19047619047619047,0.38095238095238093,0.6190476190476191,0.38461538461538464,0.2692307692307692,0.34615384615384615,0.6153846153846154,0.42857142857142855,0.6666666666666666,0.8333333333333334,0.6,0.42857142857142855,0.5,0.29411764705882354,0.14893617021276595,0.06382978723404255,0.1276595744680851,0.10638297872340426,0.14893617021276595,0.0425531914893617,0.3617021276595745,0.44680851063829785,0.5531914893617021,0.5,0.4545454545454546,0.7692307692307692,0.5714285714285715,0.0,0.6153846153846155,0.45000000000000007,0.3846153846153847,0.7499999999999999,0.0,0.0,0.5,0.39999999999999997,0.5,1.0,1.0,1.0,0.0,0.5,0.75,0.5,0.0,0.0,,0.3333333333333333,0.0,0.5,0.0,0.6666666666666666,0.25,0.3333333333333333,1.0,0.0,0.09523809523809523,0.047619047619047616,0.23809523809523808,0.047619047619047616,0.047619047619047616,0.09523809523809523,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.09523809523809523,0.0,0.11538461538461539,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.11538461538461539,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.15384615384615385,9.0,4.0,8.0,10.0,7.0,9.0,3.0,2.0,5.0,3.0,3.0,1.0,5.0,13.0,9.0,22.0,7.0,3.0,6.0,5.0,7.0,2.0,17.0,21.0,26.0,1.0,1.0,5.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,1.0,1.0,2.0,4.0,2.0,1.0,2.0,0.0,3.0,1.0,4.0,2.0,3.0,4.0,3.0,2.0,4.0
洋蔥,19.0,0.42105263157894735,0.45899470899470896,0.4733333333333334,0.16666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.3076923076923077,0.38461538461538464,0.3076923076923077,0.6923076923076923,0.5,,0.6666666666666666,1.0,0.25,0.0,0.42857142857142855,0.10526315789473684,0.0,0.15789473684210525,0.05263157894736842,0.21052631578947367,0.10526315789473684,0.3684210526315789,0.3157894736842105,0.6842105263157895,0.0,0.0,1.0,1.0,0.4,0.0,1.0,0.0,0.0,0.5,0.4545454545454546,0.5,0.32258064516129037,0.0,0.0,1.0,,1.0,,1.0,,,,,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693,0.23076923076923078,0.15384615384615385,1.0,3.0,2.0,4.0,5.0,4.0,1.0,0.0,2.0,1.0,1.0,0.0,3.0,4.0,4.0,8.0,2.0,0.0,3.0,1.0,4.0,2.0,7.0,6.0,13.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,3.0,2.0
