流水號,文字記錄,配置,刺殺,分類,日期時間,場次,check,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,最佳,
1.0,"158
458 2+
130
467
359
ooo",840216,,模擬,2023-06-27 00:00:00,1,v,,Sirius,HAO,梅粉,池,Lori,,,,,,,
2,"147
280
134
469
456
ooo",718942,,模擬,2023-06-27 00:00:00,2,v,,HAO,梅粉,Lori,Sirius,池,,,,,,,
3,"169
278
348
489
356
ooo",278136,,模擬,2023-06-28 00:00:00,1,v,,HAO,池,Lori,Sin,海月,,,,,,,
4,"370 1+
469 2+
345
147
150
oox",240671,,模擬,2023-06-28 00:00:00,2,,,ED,HAO,Lori,海月,Sirius,,,,,,,
5,"156
280
367
479
568
oox",842961,,模擬,2023-06-28 00:00:00,3,,,軒,梅粉,TEN,Sirius,Lori,,,,,,,
6,"146
280
369
680 24+
560
oxx",320617,,模擬,2023-06-28 00:00:00,4,,,Lori,Sirius,梅粉,ED,HAO,,,,,,,
7,"127
125
690 3+
458
579
oox",210956,,模擬,2023-06-28 00:00:00,5,,,HAO,Dean,ED,軒,梅粉,,,,,,,
8,"460 1+
279
370
469
579
oxx",753921,,模擬,2023-06-29 00:00:00,1,,,ED,海月,Dean,Lori,軒,,,,,,,
9,"146
267
180 3+
147
157
ooo",309864,,模擬,2023-06-29 00:00:00,2,v,,Sirius,海月,ED,梅粉,軒,,,,,,,
10,"148
670 2+
359
146
570
ooo",268931,,模擬,2023-06-29 00:00:00,3,v,,HAO,梅粉,發達,軒,海月,,,,,,,
11,"149
268
348
134
179
ooo",580264,,模擬,2023-06-29 00:00:00,4,v,別懷疑 5外撒,Dean,Sirius,梅粉,海月,池,,,,,,,
12,"470 1+
279
236
147
579
oox
3670
1678
4780
1690
1690
ooox
0>7 o",239470,,模擬,"2023/6/30
2024/1/25",1,,,ED,Dean,梅粉,HAO,Lori,黃某人,ED,池,午夜,雪怪,,
13,"369 1+
234
349
345
357
ooo",961042,,模擬,2023-06-30 00:00:00,1,v,,池,軒,Sin,TEN,梅粉,,,,,,,
14,"570
259
678 3+
279 4+
259
ooo",648752,,模擬,2023-06-30 00:00:00,2,v,,HAO,海月,池,軒,TEN,,,,,,,
15,"167
269
135
478
159
ooo",436075,,模擬,2023-06-30 00:00:00,3,v,,TEN,Lori,海月,Sirius,池,,,,,,,
16,"147
245
379
346
159
oox
1469
1378
3469 8+
4689
1370
ooox",439705,,模擬,"2023/7/2
2024/4/17",1,,"0>5 o
0>1 o
0>3 x
[2-5]7家不出失敗",池,HAO,Sirius,梅粉,海月,池,黑羊,ED,Sin,,,
17,"180
257
345
457
257
ooo",810964,,模擬,2023-07-03 00:00:00,1,v,,HAO,Dean,梅粉,池,軒,,,,,,,
18,"257 1+
259
380
240
357
oox
2679
2790
1258
2390
2790
ooox
0>4 o",916534,,模擬,"2023/7/3
2024/5/22",1,,,HAO,池,Sirius,梅粉,TEN,Sin,Emma,池,ED,軒,,
19,"169
268
345
179 4+
357
oox",592486,,模擬,2023-07-03 00:00:00,2,,,梅粉,Sirius,軒,池,HAO,,,,,,,
20,"260 1+
147 2+
480 3+
490
159
oox
1690
4679
2890
2390 8+
2690
ooox
0>5 x",486150,,模擬,"2023/7/3
2024/4/11",1,,,ED,池,梅粉,Sirius,軒,黃某人,ED,池,HAO,Sin,,
21,"390 1+
367 2+
389
346
456
ooo",297804,,模擬,2023-07-04 00:00:00,1,v,,Dean,梅粉,池,HAO,海月,,,,,,,
22,"147
159 2+
340
189 4+
357
oox",948357,,模擬,2023-07-04 00:00:00,2,,,Lori,梅粉,海月,Dean,HAO,,,,,,,
23,"126
269
348
567 4+
125
oox",820436,,模擬,2023-07-04 00:00:00,3,,,Dean,HAO,Sirius,ED,軒,,,,,,,
24,"489 1+
246
138
146
356
oox",794312,,模擬,2023-07-04 00:00:00,4,,,HAO,Lori,梅粉,Sirius,發達,,,,,,,
25,"239 1+
890 2+
136
456
456
oox
1369
1679
2489
1679
1690
ooox
0>3 o",053827,,模擬,"2023/7/4
2024/1/27",1,,,海月,ED,梅粉,池,TEN,言言,午夜,池,TEN,熊,,
26,"467 1+
278
140 3+
560 4+
156
oox",704126,,模擬,2023-07-05 00:00:00,1,,,Dean,HAO,梅粉,ED,Lori,,,,,,,
27,"147
268
360
360 4+
170
oox",582170,,模擬,2023-07-05 00:00:00,2,,別懷疑 5外撒,池,Sirius,海月,ED,TEN,,,,,,,
28,"148
240
378
470
560
oox",745821,,模擬,2023-07-05 00:00:00,3,,不用討論的局,TEN,海月,Sirius,Lori,HAO,,,,,,,
29,"167
278
130
470
157
oox",951632,,模擬,2023-07-05 00:00:00,4,,,池,Sin,米奇,軒,尼克,,,,,,,
30,"138
256
346
459
456
ooo",032765,,模擬,2023-07-06 00:00:00,1,v,onlySin,ED,海月,HAO,Dean,Sin,,,,,,,
31,"167
234
347
249
569
oxx",610952,,模擬,2023-07-06 00:00:00,2,,,Sin,Lori,Dean,Sirius,TEN,,,,,,,
32,"128
267
350
478
245
oox",394520,,模擬,2023-07-10 00:00:00,1,,,Sin,TEN,梅粉,Lori,池,,,,,,,
33,"189
248
470 3+
137 4+
258
oox",298643,,模擬,2023-07-10 00:00:00,2,,,池,海月,TEN,梅粉,軒,,,,,,,
34,"670 1+
246
367
469
125
ooo",537821,,模擬,2023-07-10 00:00:00,3,v,1-5不出 2-5再出,海月,池,軒,UD,ED,,,,,,,
35,"129
258
378
459
125
oox",728160,,模擬,2023-07-10 00:00:00,4,,,Dean,池,Sirius,ED,HAO,,,,,,,
36,"169
120
348
458
145
oox",732491,,模擬,2023-07-10 00:00:00,5,,,池,Dean,海月,Sirius,ED,,,,,,,
37,"123
248
369
450
450
oox",235174,,模擬,2023-07-11 00:00:00,1,,,Lori,ED,Dean,TEN,池,,,,,,,
38,"145
278
360
457
245
ooo",879160,,模擬,2023-07-11 00:00:00,2,v,only,Dean,池,Lori,海月,TEN,,,,,,,
39,"137
128
379
450
450
ooo",379205,,模擬,2023-07-11 00:00:00,3,v,only,ED,Dean,池,Lori,Sirius,,,,,,,
40,"147
269
138
239 4+
590
oox",621047,,模擬,2023-07-11 00:00:00,4,,,TEN,HAO,Sirius,池,ED,,,,,,,
41,"480 1+
246
367
149
459
oox",816543,,模擬,2023-07-11 00:00:00,5,,,Lori,Sirius,Sin,ED,海月,,,,,,,
42,"370 1+
279
279 3+
124 3+
450
oxx",658043,,模擬,2023-07-11 00:00:00,6,,,海月,HAO,TEN,Dean,梅粉,,,,,,,
43,"279 1+
789 2+
123
469
157
oox",654032,,模擬,2023-07-12 00:00:00,1,,,HAO,ED,Lori,TEN,海月,,,,,,,
44,"135
679 2+
370
459
159
ooo",347012,,模擬,2023-07-12 00:00:00,2,v,only,TEN,池,Sin,海月,ED,,,,,,,
45,"379 1+
489 2+
340
280 4+
568
oox
1379 7-6+
2579
1480 6+
2579
2480
ooox
0>2 x",952784,,模擬,"2023/7/12
2024/11/16",1,,,海月,池,Sirius,ED,Sin,布叮咚瓜茶,HAO,TEN,豬豬,軒,,
46,"156
258
368
190 4+
159
oox",247953,,模擬,2023-07-12 00:00:00,3,,560梅粉,Dean,Sirius,池,ED,TEN,,,,,,,
47,"125
268
379
159 4+
145
oox",162840,,模擬,2023-07-12 00:00:00,4,,,HAO,ED,Sirius,海月,Sin,,,,,,,
48,"178 
235 
356 2+ 
148 
356 
oox
2680
1570
1468
1679
1590
ooox
0>4 o",321857,,模擬,"2023/7/13
2024/2/6",1,,,池,ED,海月,Sin,軒,池,ED,黃某人,雪怪,海月,,
49,"129
258
357
147
256
oox",457269,,模擬,2023-07-13 00:00:00,1,,,海月,ED,軒,梅粉,Sin,,,,,,,
50,"135
278
368
347
125
oxx",820194,,模擬,2023-07-13 00:00:00,2,,569池,HAO,ED,Sirius,TEN,海月,,,,,,,
51,"156
570 2+
368
149
358
oox
1680
6780
1468
4590
1450
oooo
0>5 o",823609,,模擬,"2023/7/13
2024/3/22",1,,,Sin,HAO,軒,Sirius,梅粉,HAO,池,布叮咚瓜茶,Sin,ED,,
52,"169
245
356
149
145
oox",809162,,模擬,2023-07-14 00:00:00,1,,,池,海月,HAO,軒,梅粉,,,,,,,
53,"179
467 2+
358
469 2+
579
oox
3680
1270
3560 8+
1249
1250
ooxx
0>4 o",791206,,模擬,"2023/7/14
2024/3/25",1,,,HAO,ED,Sin,TEN,軒,午夜,Sin,布叮咚瓜茶,黃某人,ED,,
54,"168
578 2+
369
569
156
589
oox",801467,,模擬,2023-07-16 00:00:00,1,,,HAO,池,海月,軒,ED,,,,,,,
55,"128
250
149 1- 3+
479 3+
159
oox",964751,,模擬,2023-07-16 00:00:00,2,,250軒,HAO,TEN,池,海月,發達,,,,,,,
56,"179
580 2+
235
145
156
oox
4680
1789
2358
3589
4680
ooxx
0>5 o",320684,,模擬,"2023/7/17
2024/4/7",1,,,HAO,池,海月,Dean,TEN,黑羊,ED,黃某人,HAO,池,,
57,"570 1+
268
340
470
560
ooo",987251,,模擬,2023-07-17 00:00:00,1,v,only,池,Sin,軒,TEN,Sirius,,,,,,,
58,"178
258
156 3+
148
156
oox",360724,,模擬,2023-07-18 00:00:00,1,,,HAO,海月,池,梅粉,ED,,,,,,,
59,"135
267
460 3+
234
590
ooo",836750,,模擬,2023-07-19 00:00:00,1,v,only,HAO,池,ED,TEN,海月,,,,,,,
60,"148
234
378
178 4+
250
oox",067812,,模擬,2023-07-19 00:00:00,2,,,梅粉,HAO,Sirius,池,尼克,,,,,,,
61,"147
590 2+
345
358 4+
159
oox
3468
1478
3489
3489
1480
ooox
0>4 x",841752,,模擬,2023-07-19 00:00:00,3,,,TEN,ED,海月,Dean,Sin,布叮咚瓜茶,Ober,黃某人,Sin,ED,,
62,"190
257
140 3+
349
150
oox",796523,,模擬,2023-07-20 00:00:00,1,,,池,海月,HAO,梅粉,TEN,,,,,,,
63,"189
248
340
346
456
oox
6890
4670
3680
1690
3680
ooox
0>4 o",867923,,模擬,"2023/7/20
2024/4/4",1,,"450TEN

1690 ooox 0>4呂安
1690 ooox 0>3TEN
4670 ooox 0>4JOY
3480 ooox 0>4Dean",池,Sirius,軒,梅粉,ED,池,ED,黃某人,Sin,軒,,
64,"169
230
135
490
259
oox",847536,,模擬,2023-07-23 00:00:00,1,,,池,海月,Dean,梅粉,Sirius,,,,,,,
65,"179
248
236
169 4+
256
oox",796483,,模擬,2023-07-23 00:00:00,2,,235Sin,HAO,ED,梅粉,池,TEN,,,,,,,
66,"123
267
349
490
568 
oox",782104,,模擬,2023-07-23 00:00:00,3,,,池,HAO,Sirius,軒,海月,,,,,,,
67,"139
290
268 3+
478
259
oox
2670
5670
4580
4890
5680
ooox
0>8 x",238109,,模擬,"2023/7/24
2024/4/5",1,,"459Sirius
457尼克

4580 ooox 0>5 o ED",Sin,海月,池,梅粉,軒,轆,軒,黑羊,黃某人,池,,
68,"179
237
356
460
350
oox",940257,,模擬,2023-07-24 00:00:00,1,,001,梅粉,Sirius,Dean,Sin,池,,,,,,,
69,"137
278
390
450
258 
ooo",064952,,模擬,2023-07-24 00:00:00,2,v,only,梅粉,Sirius,Dean,Sin,池,,,,,,,
70,"179
260
345
458
458
ooo",297608,,模擬,2023-07-25 00:00:00,1,v,only,梅粉,Sirius,Dean,Sin,池,,,,,,,
71,"138
236
359
170 4+
568
oox",236940,,模擬,2023-07-26 00:00:00,1,,,Sirius,Lori,池,TEN,海月,,,,,,,
72,"145
234
380
459
157
oox",123078,,模擬,2023-07-26 00:00:00,2,,,Dean,HAO,ED,軒,Lori,,,,,,,
73,"148
256
359
469
158
oox
2689
1379
2468
3468 9+
2460
ooox
0>4 o",928741,,模擬,"2023/7/27
2024/5/8",1,,"156TEN

1460Dean",Lori,Sin,梅粉,Sirius,池,貝沙,Sin,池,黃某人,布叮咚瓜茶,,
74,"478 1+
289
348
456
145
oox",417938,,模擬,2023-07-28 00:00:00,1,,,Dean,TEN,Lori,池,海月,,,,,,,
75,"127
259
356
248
158
ooo",249063,,模擬,2023-07-28 00:00:00,2,v,,Sin,Sirius,TEN,Lori,池,,,,,,,
76,"168
267
356
489
569
oox
2367
2367
1489
4790
3670
ooox
0>3 o",286453,,模擬,"2023/7/28
2024/1/7",1,,,HAO,TEN,Lori,池,Dean,布叮咚瓜茶,Cameron,黑羊,HAO,Dean,,
77,"369 1+
267
139
145
158
oox",729140,,模擬,2023-07-29 00:00:00,1,,010,HAO,Sirius,梅粉,Dean,TEN,,,,,,,
78,"135
269
358
490
250
oxx",049567,,模擬,2023-07-30 00:00:00,1,,,HAO,梅粉,TEN,Dean,海月,,,,,,,
79,"160
279
367
470
457
oox",746830,,模擬,2023-07-30 00:00:00,2,,,Dean,Sin,黑羊,梅粉,海月,,,,,,,
80,"179
245
340
458
259
oox",193870,,模擬,2023-07-30 00:00:00,3,,,Sin,池,梅粉,Sirius,海月,,,,,,,
81,"126
123
379
260 4+
578
oox",780692,,模擬,2023-07-30 00:00:00,4,,014,梅粉,Sin,Sirius,池,海月,,,,,,,
82,"169
589 2+
589 23+
580  24+
259
oox",671924,,模擬,2023-07-31 00:00:00,1,,-,梅粉,池,ED,HAO,海月,,,,,,,
83,"156
257
389
459
358
oox",579103,,模擬,2023-07-31 00:00:00,2,,016,黑羊,Sirius,Sin,TEN,HAO,,,,,,,
84,"369 1+
238 1+
378 1+
890 4+
358
oox
4689
2780
2890
2890
4890
ooxx
0>3 o",564983,,模擬,"2023/8/1
2024/5/31",1,,2380豬豬,軒,Sirius,TEN,池,黑羊,軒,Sin,彥呈,池,Emma,,
85,"148
256
347
379 4+
156
oox",016283,,模擬,2023-08-01 00:00:00,1,,,Sirius,黑羊,TEN,Sin,海月,,,,,,,
86,"268 1+
249
345
150 4+
359
oox",873415,,模擬,2023-08-01 00:00:00,2,,156海月,池,Lori,Sirius,Dean,軒,,,,,,,
87,"158
267
380
249
589
oox
4690
1790
1780
2490
1570
ooox
0>3 x",382796,,模擬,"2023/8/1
2024/4/10",1,,"020

[多重9]3790 午夜
[多重0]1780 ooox 0>5 o黑羊",Lori,TEN,Sin,池,Sirius,黃某人,ED,池,軒,海月,,
88,"579 1+
278
345
458
135
oox
3468
2790
1250 8+
5890
2570
oooo
0>5 o",302651.0,,模擬,"2023/8/2
2025/1/9",1,,,海月,梅粉,黑羊,Lori,Sin,軒,布叮咚瓜茶,ED,Dean,池,,
89,"149
247
569 3+
189 4+
159
oox",064591,,模擬,2023-08-02 00:00:00,1,,,Sirius,Lori,HAO,黑羊,尼克,,,,,,,
90,"470 1+
268
890 3+
490 3+
158
oox",382971,,模擬,2023-08-02 00:00:00,2,,,Dean,Sirius,Lori,TEN,海月,,,,,,,
91,"389 1+
236
489 13+
458
589
ooo",375624,,模擬,2023-08-02 00:00:00,3,v,only,海月,Sin,Sirius,黑羊,HAO,,,,,,,
92,"689 1+
148 2+
359
456
568
ooo",413268,,模擬,2023-08-02 00:00:00,4,v,025,HAO,Dean,池,梅粉,Sirius,,,,,,,
93,"127
259
370
456
456
oox",943627,,模擬,2023-08-03 00:00:00,1,,150Sin,HAO,軒,黑羊,池,海月,,,,,,,
94,"678 1+
230
348
468 3+
456
oox",984105,,模擬,2023-08-03 00:00:00,2,,,軒,Lori,HAO,Dean,海月,,,,,,,
95,"145
259
235 2-
148
567
ooo",134052,,模擬,2023-08-03 00:00:00,3,v,,Lori,軒,Sirius,TEN,海月,,,,,,,
96,"128
246
139
478
157
oox",069753,,模擬,2023-08-03 00:00:00,4,,,Dean,Sirius,Sin,Lori,TEN,,,,,,,
97,"679 1+
237
359
240
356
oox",594728,,模擬,2023-08-03 00:00:00,5,,,池,HAO,Dean,Lori,海月,,,,,,,
98,"167
247
135
470
570
oox",041639,,模擬,2023-08-03 00:00:00,6,,"030
159 oox海月",池,軒,黑羊,Sin,TEN,,,,,,,
99,"378 1+
270
356
157 4+
158
oox",810429,,模擬,2023-08-03 00:00:00,7,,,海月,Sirius,軒,Dean,黑羊,,,,,,,
100,"369 1+
238 1+
369 1+
489
258
oox",041279,,模擬,2023-08-04 00:00:00,1,,,軒,梅粉,Lori,Sin,海月,,,,,,,
101,"458 1+
236
359
345
125
oox",605271,,模擬,2023-08-04 00:00:00,2,,,Lori,Sin,Sirius,米奇,HAO,,,,,,,
102,"190
237
689 3+
456
259
oox
3689
4790
2480
1489
2680
ooox
0>4 x",274163,,模擬,"2023/8/4
2024/9/5",1,,"589Lori
569Sin

第三局，0家要在2過",黑羊,軒,池,Dean,TEN,軒,Sin,Emma,毛爸,布叮咚瓜茶,,
103,"570 1+
238
370
458
457
oox",135674,,模擬,2023-08-04 00:00:00,3,,035,池,TEN,Sin,Sirius,海月,,,,,,,
104,"156
267
135
249
359
oox",,,模擬,2023-08-04 00:00:00,5.0,,"036，8:09發牌沒後續
池忘記配置了",池,TEN,Dean,Sirius,梅粉,,,,,,,
105,"169
234
379
147
245
oox",402516,,模擬,2023-08-06 00:00:00,1,,,池,HAO,梅粉,海月,黑羊,,,,,,,
106,"358 1+
125
370
149
158
oox",180243,,模擬,2023-08-07 00:00:00,1,,,海月,軒,TEN,池,Dean,,,,,,,
107,"178
270
367
458
257
oox
4568
1379
1480
4589
4590
ooox
0>4 o",206873,,模擬,"2023/8/7
2024/9/14",1,,,池,Lori,HAO,Sirius,海月,黑羊,Emma,池,午夜,布叮咚瓜茶,,
108,"369 1+
289 1+
368 1+
570 4+5-
569
ooo",713059,,模擬,2023-08-07 00:00:00,2,v,040,HAO,Sin,池,軒,海月,,,,,,,
109,"580 1+
128
370
458
458
oox",120479,,模擬,2023-08-08 00:00:00,1,,,Lori,軒,海月,尼克,Sin,,,,,,,
110,"678 1+
289
349
457
560
oox",719032,,模擬,2023-08-08 00:00:00,2,,258Sin,Lori,黑羊,TEN,尼克,海月,,,,,,,
111,"169
236
389
369 4+
138
ooo",570613,,模擬,2023-08-08 00:00:00,3,v,池沒看牌想給全好,海月,黑羊,Sirius,HAO,池,,,,,,,
112,"479 1+
234
279 3+
245
258
oox
4680
2379
1468
2490
2390
ooox
0>2 o",569403,,模擬,"2023/8/8
2024/3/26",1,,3490 ooxx 0>8 oTEN,海月,HAO,Lori,Sirius,池,Dean,黃某人,Sin,池,ED,,
113,"460 1+
289
136
458
156
ooo",280935,,模擬,2023-08-09 00:00:00,1,v,045,海月,TEN,Dean,Lori,Sin,,,,,,,
114,"470 1+
120
369
140
157
oox",680519,,模擬,2023-08-09 00:00:00,2,,,TEN,Lori,軒,Sirius,海月,,,,,,,
115,"149
268
379
470
457
oox",094186,,模擬,2023-08-09 00:00:00,3,,,HAO,Sin,軒,Sirius,海月,,,,,,,
116,"158
247
138
257 4+ 2-
456
oox
3678
2578
2368
2790
2680
ooxx
0>5 o",813629,,模擬,"2023/8/9
2024/6/27",1,,"1280 ooox 0>5 o貝沙
2680 ooxx 0>4 o阿寶",HAO,池,黑羊,軒,海月,池,軒,彥呈,布叮咚瓜茶,ED,,
117,"360 1+
237
379
470
235
oox",720431,,模擬,2023-08-10 00:00:00,1,,,Lori,HAO,池,TEN,海月,,,,,,,
118,"129
258
378
458
357
oox
3469
4789
2580
2349
2580
ooxx
0>4 o",704296,,模擬,"2023/8/10
2024/5/24",1,,,HAO,池,Lori,TEN,海月,池,嚇到吃手手,Emma,ED,Sin,,
119,"189
234
345
456
159
ooo",672451,,模擬,2023-08-10 00:00:00,2,v,"都派過
158Dean
580信子",Sirius,Lori,軒,TEN,海月,,,,,,,
120,"167
248
136
156 4+
356
ooo",287563,,模擬,2023-08-10 00:00:00,3,v,第一局不出,Sin,TEN,信子,軒,海月,,,,,,,
121,"138
278
380 12+
249 2-
580
oox",039267,,模擬,2023-08-10 00:00:00,4,,,Sin,軒,信子,Sirius,海月,,,,,,,
122,"148
256
235
478
567
oox",167308,,模擬,2023-08-11 00:00:00,1,,,Lori,TEN,信子,池,海月,,,,,,,
123,"160
237
235
469
350
oox
160
237
235
469
350
oox
5678
2378
2568
2349
2680
ooox
0>2 o",190472,,模擬,"2023/8/11
2024/4/19",1,,,Sin,Lori,Dean,Sirius,海月,HAO,黃某人,嚇到吃手手,大家都很乖,,,
124,"168
126
389
246
568
oox",278051,,模擬,2023-08-11 00:00:00,2,,,Dean,HAO,池,軒,Lori,,,,,,,
125,"169
267
237
490
257
oox",739286,,模擬,2023-08-11 00:00:00,3,,,池,軒,Lori,海月,Sin,,,,,,,
126,"126
257
370 2+
156 4+
456
ooo",780364,,模擬,2023-08-11 00:00:00,4,v,"都派過
145Dean
156TEN、小背包",Sirius,池,海月,ED,Sin,,,,,,,
127,"468 1+
123
389
468 1+
580
oxx",148053,,模擬,2023-08-12 00:00:00,1,,569海月,Sirius,池,Sin,軒,ED,,,,,,,
128,"569 1+
258
238
456
156
oxx",913672,,模擬,2023-08-13 00:00:00,1,,,池,Sirius,信子,TEN,Sin,,,,,,,
129,"156
269
359
458
568
oox",189732.0,,模擬,2023-08-14 00:00:00,1,,,Dean,Sin,HAO,TEN,Lori,,,,,,,
130,"358 1+
125
367
140
145
oox",843712,,模擬,2023-08-14 00:00:00,2,,256海月,Lori,Sirius,TEN,ED,HAO,,,,,,,
131,"147
269
357
147
157
ooo",026813,,模擬,2023-08-14 00:00:00,3,v,only,池,Sin,Sirius,海月,TEN,,,,,,,
132,"278 1+
126
346
145
145
oox",016937,,模擬,2023-08-14 00:00:00,4,,,Lori,海月,Sirius,Dean,Sin,,,,,,,
133,"138
278
349
458
145
oox",270438,,模擬,2023-08-14 00:00:00,5,,359Sin,Dean,池,Sirius,海月,HAO,,,,,,,
134,"169
268
130
160 4+
157
oxx",927158,,模擬,2023-08-16 00:00:00,1,,,Sin,Sirius,Lori,HAO,海月,,,,,,,
135,"135
247
379
457
258
ooo",428137,,模擬,2023-08-16 00:00:00,2,v,1-5不出,HAO,TEN,Sirius,軒,Lori,,,,,,,
136,"126
268
156 3+
478
356
oox",439260,,模擬,2023-08-16 00:00:00,3,,156ED,Sin,HAO,Dean,Sirius,池,,,,,,,
137,"137
259
379
489
459
oox",683501,,模擬,2023-08-16 00:00:00,4,,,Dean,軒,Sin,池,小背包,,,,,,,
138,"129
270
369
458
580
ooo",943615,,模擬,2023-08-17 00:00:00,1,v,,Sin,Sirius,TEN,Dean,海月,,,,,,,
139,"179
278
340
149
459
oox
3460
1379
2480
1390
2480
ooox
0>4 o",128956,,模擬,"2023/8/17
2024/5/9",1,v,"158 D
570 月

3470 Emma",HAO,信子,Sin,尼克,池,小余,池,Sin,黃某人,ED,,
140,"127
257
359
479
159
oox",347961,,模擬,2023-08-18 00:00:00,1,,,可可,Dean,Sirius,TEN,Sin,,,,,,,
141,"478 1+
456 2+
358
345
578
oox",620847,,模擬,2023-08-18 00:00:00,2,,,黑羊,池,軒,Alan,TEN,,,,,,,
142,"150
269
135
140
150
oox",230841,,模擬,2023-08-18 00:00:00,3,,,Alan,Sirius,池,TEN,小背包,,,,,,,
143,"149
235
356
348
359
ooo",280163,,模擬,2023-08-19 00:00:00,1,v,only海月,Sirius,池,Sin,黑羊,海月,,,,,,,
144,"169
237
350
127 4+
359
ooo",401728,,模擬,2023-08-20 00:00:00,1,v,onlyTEN,HAO,Mike,Alan,Sin,TEN,,,,,,,
145,"470 1+
245
245 3+
147
456
oox",806932,,模擬,2023-08-20 00:00:00,2,,245黑羊,海月,Sin,ED,Mike,TEN,,,,,,,
146,"138
236
380
567 4+
358
oox",813960,,模擬,2023-08-21 00:00:00,1,,,Dean,黑羊,Lori,ED,Mike,,,,,,,
147,"126
235
348
368 4+
235
oox
1680
1670
2568
4590
3460
ooxx
0>5 o",973682,,模擬,"2023/8/21
2024/4/10",1,,,Dean,Mike,黑羊,TEN,海月,Sin,軒,布叮咚瓜茶,HAO,海月,,
148,"369 1+
247
378
480
458 
oox",935728,,模擬,2023-08-21 00:00:00,2,,,黑羊,Mike,豬羊,TEN,海月,,,,,,,
149,"147
234
347
458
145
oox",713942,,模擬,2023-08-21 00:00:00,3,,,Dean,尼克,莊鈞翔,黑羊,海月,,,,,,,
150,"120
230
360
120 4+
350
oox",062798,,模擬,2023-08-21 00:00:00,4,,,Sin,池,Dean,HAO,TEN,,,,,,,
151,"145
259
356
458
256
ooo",039856,,模擬,2023-08-21 00:00:00,5,v,only,HAO,小背包,Dean,Sin,海月,,,,,,,
152,"159
279
368
345
145
ooo",209685,,模擬,2023-08-22 00:00:00,1,v,458皓,TEN,Lori,池,Dean,海月,,,,,,,
153,"135
234
356 1+
678 4+
156
oox",036178,,模擬,2023-08-22 00:00:00,2,,,HAO,Lori,TEN,池,黑羊,,,,,,,
