流水號,文字記錄,配置,刺殺,分類,日期時間,場次,check,note,玩1,玩2,玩3,玩4,玩5,玩6,玩7,玩8,玩9,玩0,最佳,
154,"167
236
137
459
256
oox",267043,,模擬,2023-08-22 00:00:00,3,,,Sin,小背包,信子,池,Mike,,,,,,,
155,"468 1+
149 2+ 4-
378
458
458
oox",498162,,模擬,2023-08-22 00:00:00,4,,,Lori,Alan,池,Dean,Mike,,,,,,,
156,"169
249
345
689 4+
589
oox",874321,,模擬,2023-08-22 00:00:00,5,,159海月,池,黑羊,莊鈞翔,Lori,TEN,,,,,,,
157,"158
270
357
458
357
oox",938207,,模擬,2023-08-22 00:00:00,6,,,小背包,Mike,ED,TEN,海月,,,,,,,
158,"178
289
157 3+
160 4+
135
oox",769582,,模擬,2023-08-23 00:00:00,1,,,Sin,軒,黑羊,ED,海月,,,,,,,
159,"136
239
389
469
358
oox",473890,,模擬,2023-08-23 00:00:00,2,,125海月,Sin,軒,小背包,Lori,池,,,,,,,
160,"156
469 2+
379
245
257
oox",792046,,模擬,2023-08-23 00:00:00,3,,,Lori,ED,TEN,Sin,海月,,,,,,,
161,"190
279
235
167 4+
159
oox",728950,,模擬,2023-08-23 00:00:00,4,,,Lori,HAO,軒,池,海月,,,,,,,
162,"148
246
358
148
358
oox",364257,,模擬,2023-08-23 00:00:00,5,,,軒,黑羊,Sirius,TEN,Sin,,,,,,,
163,"125
269
367
345
235
oox
5690
1379
2689
3569
5690
oooo
0>5 o",123796,,模擬,"2023/8/24
2024/5/17",1,,"5790 ooox Vash
3450 ooox 0>4 o 呂安",黑羊,Dean,信子,池,海月,黃某人,ED,梅粉,Emma,小余,,
164,"123
258
368
470
145
oox",928437,,模擬,2023-08-24 00:00:00,1,,357海月,Alan,TEN,Sin,池,軒,,,,,,,
165,"169
239
259 3+
345
356
oxx",628379,,模擬,2023-08-24 00:00:00,2,,,Sin,黑羊,HAO,Dean,海月,,,,,,,
166,"147
125
345
479
125
oox",028354,,模擬,2023-08-25 00:00:00,1,,159海月,Sin,Lori,池,黑羊,Dean,,,,,,,
167,"580 1+
235
359
478
258
oox",768045,,模擬,2023-08-25 00:00:00,2,,,軒,HAO,TEN,Lori,海月,,,,,,,
168,"257 1+
157 2+
123
345
125
ooo",608792,,模擬,2023-08-25 00:00:00,3,v,only,海月,Dean,池,Alan,Sin,,,,,,,
169,"123
127
138
567 4+
345
oox",831479,,模擬,2023-08-26 00:00:00,1,,,Alan,軒,Dean,Sin,海月,,,,,,,
170,"148
269
380
256 4+
259
oox
1460
2780
2480
1790
3460
oooo
0>4 o",718903,,模擬,"2023/8/28
2024/3/27",1,,"456Sin
256海月",軒,TEN,小背包,池,米奇,黃某人,海月,ED,Ray,JOY,,
171,"148
247
378
147
159
oox",683542.0,,模擬,2023-08-29 00:00:00,1,,,可可,JOY,TEN,Dean,海月,,,,,,,
172,"189
257
345
456
450
ooo",912874,,模擬,2023-08-29 00:00:00,2,v,only,黑羊,大星,Dean,Sirius,TEN,,,,,,,
173,"145
259
379
157 4+
145
oox",740269,,模擬,2023-08-29 00:00:00,3,,,Dean,海月,大星,TEN,軒,,,,,,,
174,"238 1+
389 2+
129 3+
457
589
oox",392847,,模擬,2023-08-30 00:00:00,1,,,海月,Dean,HAO,黑羊,Lori,,,,,,,
175,"170
269
345
345
157
oox",526931,,模擬,2023-08-30 00:00:00,2,,,Dean,HAO,TEN,Sin,軒,,,,,,,
176,"158
235
390
145
125
ooo",680942,,模擬,2023-08-30 00:00:00,3,v,only,軒,小背包,Dean,Lori,Sin,,,,,,,
177,"127
256
370
148
158
oox",246837,,模擬,2023-08-30 00:00:00,4,,,Sin,池,Dean,TEN,Alan,,,,,,,
178,"379 1+
245
560 3+
456 3+
458
ooo",719403,,模擬,2023-08-30 00:00:00,5,v,4藏車,Dean,HAO,ED,軒,Sin,,,,,,,
179,"389 1+
456 2+
680 3+
245
356
oxx",205681,,模擬,2023-08-31 00:00:00,1,,,Dean,池,ED,HAO,海月,,,,,,,
180,"156
269
390
234
357
oox
2690
1679
1348
1390
1260
ooxx
0>3 o",279643,,模擬,"2023/8/31
2024/3/28",1,,,池,小背包,ED,Sirius,海月,黃某人,貝沙,ED,TEN,海月,,
181,"189
260
370
458
256
oox
6789
2370
2480
1890
2480
oooo
0>8 o",617923,,模擬,"2023/9/1
2024/3/28",1,,,池,海月,Sirius,Lori,JOY,Ray,黃某人,池,貝沙,ED,,
182,"148
570 2+
360
145
250
oox
1469
1570
1480
3579
1570
ooox
0>5 o",803612,,模擬,"2023/9/1
2024/5/17",1,,,Lori,ED,JOY,TEN,小背包,黃某人,池,洋蔥,ED,Sin,,
183,"134
249
370
148
159
oox
4680
3479
4689
1379
3450
ooox
0>4 x",624981,,模擬,"2023/9/1
2024/5/16",1,,,Alan,小背包,ED,海月,Sin,布叮咚瓜茶,池,軒,黃某人,ED,,
184,"159
238
136
470
159
oox",917358,,模擬,2023-09-01 00:00:00,1,,,海月,TEN,ED,Dean,Sin,,,,,,,
185,"178
256
480 3+
146
145
ooo",967381,,模擬,2023-09-03 00:00:00,1,v,only,池,Sin,ED,Dean,HAO,,,,,,,
186,"167
247
456 3+
149
145
oox",901253,,模擬,2023-09-04 00:00:00,1,,,池,Sin,ED,HAO,海月,,,,,,,
187,"569 1+
235
239
348
235 
oox",438256,,模擬,2023-09-04 00:00:00,2,,,小背包,Sin,ED,Dean,黑羊,,,,,,,
188,"148
258
347
170 34+
150
oox
5680
1247
2689
4689
1260
ooox
0>3 o
1367
1238
2368
4560
2568
ooox",281904,,模擬,"2023/9/5
2024/9/12",1,,[3-5]毛爸代打,TEN,JOY,黑羊,池,Sin,豬豬,Ray,布叮咚瓜茶,軒,Dean,,
189,"168
280
360
146
456
oox",487359,,模擬,2023-09-06 00:00:00,1,,,豬羊,黑羊,TEN,尼克,Sin,,,,,,,
190,"180
256
256 3+
258 4+
258
ooo",716954,,模擬,2023-09-06 00:00:00,2,v,都派過,黑羊,Dean,Mike,池,Sin,,,,,,,
191,"389 1+ 
234
139 
458
458
ooo",673108,,模擬,2023-09-06 00:00:00,3,v,only,池,小背包,Dean,HAO,Sin,,,,,,,
192,"147
267 1+
360
246 1+
560
oox",296183,,模擬,2023-09-07 00:00:00,1,,,池,TEN,Dean,尼克,Sin,,,,,,,
193,"157
259
378
478 1+
235
oox",602934,,模擬,2023-09-07 00:00:00,2,,,池,Sirius,ED,尼克,Sin,,,,,,,
194,"145
479 2+
137
147
579
oox",804721,,模擬,2023-09-08 00:00:00,1,,,Sin,池,ED,豬羊,Sirius,,,,,,,
195,"157
278
349
345
356
ooo",879053,,模擬,2023-09-08 00:00:00,2,v,only,小背包,TEN,HAO,Sin,海月,,,,,,,
196,"139
235
470 3+
490 3+
259
oox",458617,,模擬,2023-09-08 00:00:00,3,,,Sin,池,ED,尼克,HAO,,,,,,,
197,"148 4-
260
470 3+
340
450
oox
2469
1346 7-
1589
1349
2670
ooox
0>3 x",164375,,模擬,"2023/9/11
2024/4/4",1,,,Lori,TEN,池,ED,Sin,布叮咚瓜茶,HAO,池,TEN,軒,,
198,"147
250
689 3+
146
145
ooo",637051,,模擬,2023-09-11 00:00:00,1,v,only,TEN,軒,池,Sin,Dean,,,,,,,
199,"123 3-
489 2+
369
369 4+
359
oox
2680
3470
3480
4690 6-
2560
ooox
0>5 o",946751,,模擬,"2023/9/12
2024/4/17",1,,,TEN,Dean,HAO,Sin,海月,池,軒,HAO,Sin,ED,,
200,"167
589 2+
359
456
569
oox",014653,,模擬,2023-09-12 00:00:00,1,,,Sin,池,尼克,ED,TEN,,,,,,,
201,"147
249
360
478
158
ooo",479268,,模擬,2023-09-13 00:00:00,1,v,only,池,小背包,TEN,Dean,Sin,,,,,,,
202,"479 1+
234
369
347
359
oox",850621,,模擬,2023-09-13 00:00:00,2,,,池,Sin,TEN,Sirius,軒,,,,,,,
203,"178
249
358
149 2+
358
oox",693270,,模擬,2023-09-14 00:00:00,1,,157Dean,池,Sin,軒,HAO,海月,,,,,,,
204,"168
248
379
467
258
oox",472951,,模擬,2023-09-14 00:00:00,2,,,Sin,軒,TEN,尼克,黑羊,,,,,,,
205,"178
290
357
456
456
oox",476319,,模擬,2023-09-14 00:00:00,3,,,池,TEN,Sirius,Dean,Sin,,,,,,,
206,"149
290 3+
190 23+
290 34+
157
oox",157462,,模擬,2023-09-15 00:00:00,1,,,池,Lori,HAO,Dean,Sin,,,,,,,
207,"268 1+
580 2+
350
470
350
oox",956478,,模擬,2023-09-15 00:00:00,2,,,HAO,池,軒,Sin,TEN,,,,,,,
208,"169
289
237
468
156
oox",126734,,模擬,2023-09-15 00:00:00,3,,,TEN,Sin,ED,尼克,海月,,,,,,,
209,"127
278
570 3+
345
358
oox",043257,,模擬,2023-09-15 00:00:00,4,,,小背包,黑羊,ED,HAO,池,,,,,,,
210,"168
245
580 3+
247
245
oox
2680
1678
1358
5890
4680
ooxx
0>3 o",742091,,模擬,"2023/9/18
2024/4/13",1,v,"358海月

3580 ooox 0>4 o黑羊
1780 ooxx 0>5 o貝沙",軒,Sin,池,Dean,HAO,Sin,軒,ED,午夜,池,,
211,"167
123
369
149
359
oox",498120,,模擬,2023-09-19 00:00:00,1,,,池,Sin,Dean,TEN,HAO,,,,,,,
212,"136
259
367
458
158
oox",913780,,模擬,2023-09-19 00:00:00,2,,,Sin,TEN,小背包,Dean,黑羊,,,,,,,
213,"790 1+
569 2+
130
389 4+
569 
oox",340978,,模擬,2023-09-20 00:00:00,1,,,海月,池,Sin,Dean,軒,,,,,,,
214,"168
238
145 3+
359 4+
345
oox
1568
2358 7+
1568
2579
1250
ooxx
0>4 o",324016,,模擬,"2023/9/20
2024/9/23",1,,,小背包,HAO,ED,池,Sin,軒,ED,小背包,Sin,布叮咚瓜茶,,
215,"169
348 2+
356
189 4+
567
oox",416037,,模擬,2023-09-20 00:00:00,2,v,358海月,軒,TEN,Sin,HAO,池,,,,,,,
216,"169
236
235
589 14+
258
oox",023891,,模擬,2023-09-20 00:00:00,3,,580ED,HAO,海月,Sin,黑羊,Dean,,,,,,,
217,"179
567 2+
139
247
560
oox",406291,,模擬,2023-09-21 00:00:00,1,v,256海月,軒,池,HAO,Dean,TEN,,,,,,,
218,"189
269
347
357 4+
150
oox",261487,,模擬,2023-09-21 00:00:00,2,,,Dean,軒,HAO,Sin,海月,,,,,,,
219,"780 1+
127
358 
345
358 
oox
1268
2349 7-
2680
2890
2680
oooo
0>2 o",973148,,模擬,"2023/9/21
2024/5/14",1,,"2380 ooox 0>2 o 午夜
1260 ooox 0>5 o 布叮咚瓜茶
1570 ooxx 0>4 o Sin
1270 ooxx 0>8 o 池",池,海月,黑羊,Sin,TEN,嚇到吃手手,HAO,軒,海月,小余,,
220,"190
249
690 13+
246
450
oox
2468
1479
2468
1790
1790
ooox
0>3 o",786521,,模擬,"2023/9/21
2024/10/30",1,,"1490 ooooDean
1250 ooox池",JOY,黑羊,Sirius,Sin,海月,軒,Sin,豬豬,TEN,ED,,
221,"890 1+
279 
267 3-
169 4+
135
oox",973485,,模擬,2023-09-22 00:00:00,1,,,黑羊,Sirius,HAO,池,海月,,,,,,,
222,"126
248
230
489
159
oox",186459,,模擬,2023-09-22 00:00:00,2,,,Dean,Sirius,HAO,TEN,海月,,,,,,,
223,"789 1+
256
178 3+
245
245 
ooo",617583,,模擬,2023-09-22 00:00:00,3,v,1-5不出,小背包,Dean,黑羊,TEN,Sin,,,,,,,
224,"380
267
360
148
560 
oox",628491,,模擬,2023-09-22 00:00:00,4,,,Dean,Sin,黑羊,海月,TEN,,,,,,,
225,"169
579 2+
670 3+
237 4+
259
ooo",801452,,模擬,2023-09-23 00:00:00,1,v,only,HAO,ED,池,Dean,海月,,,,,,,
226,"167
270
236
236 4+
580 
oox",793824,,模擬,2023-09-25 00:00:00,1,,,黑羊,軒,小背包,Sin,海月,,,,,,,
227,"167
289
137
347
258
oox",127084,,模擬,2023-09-27 00:00:00,1,,568布叮咚瓜茶,Lori,池,信子,Sirius,Sin,,,,,,,
228,"169
567 2+
370
480
259 
oox",273861,,模擬,2023-09-27 00:00:00,2,,,池,ED,海月,TEN,雪怪,,,,,,,
229,"178
268
347
456
357 
oox",789256,,模擬,2023-09-27 00:00:00,3,,,池,ED,雪怪,TEN,黑羊,,,,,,,
230,"138
450 2+
680 3+
459 2+
245
oox
3469
2790
5789 7-
1358 9+
2450
ooxx
0>5?
1589 58-0+
1259 15-70+
3489 8-0+
3489 8-0+
1589
ooox",064158,,模擬,"2023/9/27
2024/4/23",1,,"[3-3]海月代打
[3-4]JOY代打",Dean,ED,池,HAO,Sin,嚇到吃手手,池,黃某人,布叮咚瓜茶,午夜,,
231,"167
470 2+
138
147
356
oox",901564,,模擬,2023-09-28 00:00:00,1,,,Dean,ED,雪怪,Sin,海月,,,,,,,
232,"145
289
369
248
589
oox
1670
1357
1678
1479
5890
ooxx
0>3 o",379041,,模擬,"2023/9/28
2024/10/17",1,,156JOY,Dean,軒,TEN,黑羊,JOY,豬豬,軒,EnRs,Sin,TEN,,
233,"479 1+
237
127 3+
489
459
oox
2346
1257
1789
2379
2790
ooox
0>9 o",321498,,模擬,"2023/10/3
2024/5/21",1,,,海月,Sin,Dean,池,軒,ED,Emma,黃某人,Sin,池,,
234,"147
259
357
478
259
oox",147926,,模擬,2023-10-03 00:00:00,1,,,Dean,軒,TEN,雪怪,Sin,,,,,,,
235,"159
289
367
459
357
ooo",246895,,模擬,2023-10-04 00:00:00,1,v,579雪怪猛男派票,Dean,Sin,池,TEN,海月,,,,,,,
236,"148
260
378
158 4+
145
oox",401236,,模擬,2023-10-05 00:00:00,1,,,小背包,Sin,TEN,Sirius,Dean,,,,,,,
237,"148
278
389
146
570
oox",073961,,模擬,2023-10-06 00:00:00,1,,,TEN,小背包,Dean,Sin,海月,,,,,,,
238,"267 1+
239
390
360 4+
350
oox",049782,,模擬,2023-10-07 00:00:00,1,,256池,HAO,海月,Sin,軒,Dean,,,,,,,
239,"123 2-
460 2+
347 2+
456 2+
450
ooo",169325,,模擬,2023-10-07 00:00:00,2,v,only,黑羊,ED,HAO,Dean,TEN,,,,,,,
240,"148
258
139
147
578 
oox",618920,,模擬,2023-10-08 00:00:00,1,,,池,ED,軒,Sin,海月,,,,,,,
241,"179
238
368
149
459
oox
3560
1450 7+
3890
2890
3690
oooo
0>3 o",124805,,模擬,"2023/10/9
2024/4/9",1,,,HAO,ED,池,Sin,海月,池,ED,Dean,布叮咚瓜茶,HAO,,
242,"149
267
380
450
580
oox
1679
5679
1269 8+
5679
1690
ooox
0>5 o",981734,,模擬,"2023/10/11
2024/8/26",1,,,HAO,ED,海月,毛爸,Dean,豬豬,軒,黃某人,梅粉,fancy,,
243,"169
456 2+
379
247
135
oox",809346,,模擬,2023-10-11 00:00:00,1,,,黑羊,ED,Sin,池,雪怪,,,,,,,
244,"126
590 2+
369
678 4+
156 
oox",906235,,模擬,2023-10-12 00:00:00,1,,,雪怪,ED,Dean,瑞,海月,,,,,,,
245,"148
259
137
450
569
oox",980357,,模擬,2023-10-12 00:00:00,2,,569池,Dean,毛爸,雪怪,TEN,海月,,,,,,,
246,"145
259
139
458
159
oox",841730,,模擬,2023-10-13 00:00:00,1,,,池,黑羊,Dean,毛爸,海月,,,,,,,
247,"169
239
359 2+
129 4+
156
oxx",647102,,模擬,2023-10-13 00:00:00,2,,,JOY,ED,Sin,海月,池,,,,,,,
248,"169
289
457 3+
456
357
oxx",309741,,模擬,2023-10-13 00:00:00,3,,,池,Sin,HAO,ED,海月,,,,,,,
249,"146
269
130
480
235
ooo",468579.0,,模擬,2023-10-19 00:00:00,1,v,號子說2350也不出,黑羊,Sirius,毛爸,小背包,HAO,,,,,,,
250,"178
280
360
145
145
oox
1689
5790
2380
2579
1680
ooox
0>4 o",047591,,模擬,"2023/10/23
2024/5/7",1,,,池,海月,黑羊,Dean,TEN,池,轆,布叮咚瓜茶,黃某人,Emma,,
251,"167
257
358
479
578
oox",589160,,模擬,2023-10-23 00:00:00,1,,,Dean,ED,TEN,Sin,池,,,,,,,
252,"137
456 2+
390
459
458
oox",047698,,模擬,2023-10-24 00:00:00,1,,,雪怪,池,Dean,海月,毛爸,,,,,,,
253,"169
290
357
470
159
oox",631452,,模擬,2023-10-25 00:00:00,1,,,Sirius,海月,池,TEN,Dean,,,,,,,
254,"168
258
369
560
567
oox",846910,,模擬,2023-10-26 00:00:00,1,,,雪怪,池,TEN,ED,海月,,,,,,,
255,"478 1+
289
357
259 4+
259
oox",067243,,模擬,2023-10-26 00:00:00,2,,158海月,黑羊,HAO,Sirius,池,Sin,,,,,,,
256,"145
289
135
456
159
oox",469873,,模擬,2023-10-27 00:00:00,1,,,TEN,小背包,Dean,海月,池,,,,,,,
257,"146
268
159 3+
248
159
ooo",487290,,模擬,2023-10-30 00:00:00,1,v,"這把怪說海月的派票風格像池
only",Dean,HAO,海月,TEN,Lori,,,,,,,
258,"149
247
378
459
235
oox",094583,,模擬,2023-11-01 00:00:00,1,,579海月,雪怪,Lori,池,ED,Dean,,,,,,,
259,"159
267
234
480
258
oox",907862,,模擬,2023-11-01 00:00:00,2,,,Lori,TEN,雪怪,ED,海月,,,,,,,
260,"147
267
347
456
245
oox
2690
1479
2580
4790
2680
oooo",147302,,模擬,"2023/11/2
2024/3/25",1,,,Lori,HAO,雪怪,池,海月,Dean,池,HAO,Sin,ED,,
261,"146
270
360
136 4+
356
oox",310768,,模擬,2023-11-02 00:00:00,1,,,TEN,海月,HAO,雪怪,黃某人,,,,,,,
262,"489 1+
370 2+
138
456
145
oox",834690,,模擬,2023-11-02 00:00:00,2,,,海月,毛爸,Sin,雪怪,TEN,,,,,,,
263,"137
245
370
248
258
oox",286471,,模擬,2023-11-03 00:00:00,1,,357軒,Lori,Dean,Sin,HAO,毛爸,,,,,,,
264,"149
256
358
489
560
oox",219607,,模擬,2023-11-03 00:00:00,2,,,黃某人,池,Sirius,軒,Lori,,,,,,,
265,"148
268
360
347
345
oox",156782,,模擬,2023-11-03 00:00:00,3,,,Lori,黑羊,黃某人,HAO,海月,,,,,,,
266,"146
278
358
245
567
oox",641093,,模擬,2023-11-03 00:00:00,4,,,Lori,池,布叮咚瓜茶,Dean,軒,,,,,,,
267,"145
378 2+
389 2+
147
157
oox",687901,,模擬,2023-11-06 00:00:00,1,,,HAO,池,Dean,軒,TEN,,,,,,,
268,"167
259
349
349
590
ooo",609873,,模擬,2023-11-07 00:00:00,1,v,only,HAO,雪怪,軒,Dean,海月,,,,,,,
269,"178
280
358
145
157
oox
5670
3560 7+
4580
1290
3670
ooox
0>3 o",467539,,模擬,"2023/11/7
2024/4/24",1,,,池,軒,Dean,HAO,Sin,HAO,池,軒,Sin,布叮咚瓜茶,,
270,"578 1+
237
138
245
125
ooo",490857,,模擬,2023-11-07 00:00:00,,v,135黃某人,黑羊,Dean,軒,池,海月,,,,,,,
271,"378 1+
236
370
369 4+
359
ooo",864019,,模擬,2023-11-08 00:00:00,1,v,only,TEN,Dean,池,HAO,海月,,,,,,,
272,"450 1+
237
379
450 1+
250
oox",230984,,模擬,2023-11-08 00:00:00,2,,,Dean,Sin,軒,ED,海月,,,,,,,
273,"158
268
349
389 4+
256
oox",042751,,模擬,2023-11-08 00:00:00,3,,156軒,小背包,TEN,黑羊,黃某人,雪怪,,,,,,,
274,"179
126
348
340
567
oox",621439,,模擬,2023-11-08 00:00:00,4,,"579軒
256黃某人",黑羊,Dean,HAO,Sin,池,,,,,,,
275,"136
234
346
234
135
oox",743051,,模擬,2023-11-09 00:00:00,1,,156ED、黃某人,黑羊,池,Sin,軒,HAO,,,,,,,
276,"150
247
370
345
150
oox",027819,,模擬,2023-11-09 00:00:00,2,,,毛爸,TEN,HAO,池,海月,,,,,,,
277,"146
590 2+
347
460
456
oox",276841,,模擬,2023-11-10 00:00:00,1,,,Lori,ED,黃某人,黑羊,海月,,,,,,,
278,"190
267
235
789 4+
257
oox
4690
4780
2780
2479
2460
oooo
0>2 o",519328,,模擬,2023-11-11 00:00:00,1,v,only,Dean,池,HAO,ED,海月,軒,Sin,小背包,布叮咚瓜茶,TEN,,
279,"139
259
358
246
359
oox
1689
1378
2380
1279
1380
oooo",642973,,模擬,"2023/11/14
2024/3/29",1,,"578海月
157雪怪
258黃某人
560TEN

1370Sin",HAO,軒,毛爸,黃某人,Dean,池,黃某人,午夜,布叮咚瓜茶,貝沙,,
280,"179
247
360
147
457
ooo",613025,,模擬,2023-11-15 00:00:00,1,v,only,池,黃某人,毛爸,軒,海月,,,,,,,
281,"179
267
380
457
580
oox
1467
1257
3458
1359
1270
ooxx",295178,,模擬,"2023/11/15
2024/4/10",1,,,TEN,HAO,黑羊,Dean,軒,黃某人,午夜,池,Sin,軒,,
282,"129
269
356
456
358
oox",689341,,模擬,2023-11-15 00:00:00,2,,,Sin,軒,HAO,ED,海月,,,,,,,
283,"169
237
123
470
159
oox",941730,,模擬,2023-11-16 00:00:00,1,,,ED,黑羊,Sin,TEN,海月,,,,,,,
284,"146
247
130
460
590
oxx",792051,,模擬,2023-11-17 00:00:00,1,,,池,軒,毛爸,Dean,海月,,,,,,,
285,"179
234
345
345
135
oox",719652,,模擬,2023-11-17 00:00:00,2,,,毛爸,Sin,池,軒,TEN,,,,,,,
286,"134
267
340
457
359
oox",032149,,模擬,2023-11-17 00:00:00,3,,"568海月
135Dean",雪怪,毛爸,軒,池,TEN,,,,,,,
287,"156
125
390
456
356
oox",390278,,模擬,2023-11-18 00:00:00,1,,reset發兩奧,Lori,Alan,Dean,池,海月,,,,,,,
288,"379 1+
268
678 3+
250 4+
245
oox",246310,,模擬,2023-11-18 00:00:00,2,,,HAO,雪怪,Lori,池,海月,,,,,,,
289,"369 1+
270
347
148
570
oox",689502,,模擬,2023-11-20 00:00:00,1,,,軒,毛爸,TEN,黑羊,Sirius,,,,,,,
290,"146
248 1+
369
247
245
oox",894617,,模擬,2023-11-21 00:00:00,1,,,池,雪怪,黃某人,黑羊,熊,,,,,,,
291,"158
239
237
458
257
oox",374621,,模擬,2023-11-21 00:00:00,2,,,熊,雪怪,開司,軒,TEN,,,,,,,
292,"479 1+
236
368
179 4+
458
oox",803267,,模擬,2023-11-21 00:00:00,3,v,159HAO,TEN,池,黃某人,軒,Sin,,,,,,,
293,"169
235
239
145
579
oox",910238,,模擬,2023-11-22 00:00:00,1,,,TEN,JOY,軒,轆,海月,,,,,,,
294,"180
248
358
459
150
ooo",796281,,模擬,2023-11-22 00:00:00,2,v,158Sin、皓,TEN,軒,開司,毛爸,海月,,,,,,,
295,"140
248
356
148
358
oox",094327,,模擬,2023-11-22 00:00:00,3,,"258黑羊
HAO說如果我有3-5他認輸",開司,軒,Sin,HAO,海月,,,,,,,
296,"789 1+
248
679 3+
356 4+
258 
oox
3690
1479
1248
1790
3460
ooox
0>4 o",579368,,模擬,"2023/11/23
2024/5/7",1,,"1570 ED
1450 貝沙",海月,雪怪,池,軒,TEN,軒,池,Vash,黃某人,Sin,,
297,"179
125
235
680 4+
580
oox",165438,,模擬,2023-11-24 00:00:00,1,,,開司,毛爸,Sin,池,軒,,,,,,,
298,"378 1+
259
239
340
235
oox",349782,,模擬,2023-11-24 00:00:00,2,,,軒,JOY,池,開司,Sin,,,,,,,
299,"378 1+
289
239
458
579
ooo",284135,,模擬,2023-11-24 00:00:00,3,v,"579海月
457軒
570TEN
357Dean
359HAO",毛爸,Sin,JOY,池,海月,,,,,,,
300,"345 1+
125
346
148
125
oox",175640,,模擬,2023-11-24 00:00:00,4,,,海月,Dean,軒,TEN,JOY,,,,,,,
301,"379 1+
269
123
246
259
oox",042851,,模擬,"2023/11/27
2024/4/11",1,,,黑羊,毛爸,軒,雪怪,TEN,池,軒,JOY,HAO,黑羊,,
302,"170
256
367
157 4+
245
oox",926053,,模擬,2023-11-27 00:00:00,1,,"357池
256黃某人(可以考慮撞車ooo)",TEN,雪怪,HAO,軒,JOY,,,,,,,
303,"169
127
237
890 4+
145 
oox",289531,,模擬,2023-11-28 00:00:00,1,,,Dean,Lori,雪怪,池,軒,,,,,,,
304,"489 1+
378 2+
789 23+
470
569 
oox",367124,,模擬,2023-11-28 00:00:00,2,,,黑羊,Lori,雪怪,HAO,池,,,,,,,
305,"179
247
457 3+
145
159
oox
4568
2457
2480
3490
2470
ooox
0>4 o",692143,,模擬,"2023/11/28
2024/9/10",1,,"345HAO
357海月

2450 ooox 0>4 oTEN
2480 ooox 0>3 o池",池,TEN,Lori,Dean,軒,黑羊,軒,布叮咚瓜茶,ED,豬豬,,
306,"127
245
137
249
158
oox",683041,,模擬,2023-11-28 00:00:00,3,,579JOY,Dean,池,軒,TEN,ED,,,,,,,
307,"148
270
378
469
578
oxx",824736,,模擬,2023-11-28 00:00:00,4,,569黃某人,JOY,HAO,ED,TEN,軒,,,,,,,
